staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,orientation,Absolute Orientation Values,,,mean average threshold,
82,0.5,1,112.6169001,113.0922189,113.0922189,113.1069508,113.390471,1,1,1.377206292,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
83,0.5,1,114.4856625,114.9669511,114.9669511,114.9836193,115.2576689,-1,1,1.076552459,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
84,0.5,1,116.0621997,116.5498714,116.5498714,116.5562787,116.8406047,1,0,0.819544917,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
85,0.5,1.5,117.4005332,117.8749485,117.8749485,117.8895957,118.1677286,1.5,1,0.800090209,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
86,0.5,1.5,118.6950811,119.1833464,119.1833464,119.1903513,119.4736156,1.5,1,0.80294775,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
87,0.5,1.5,120.0020905,120.4839209,120.4839209,120.5006891,120.7733758,-1.5,1,0.546328959,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
88,0.5,1,121.0458565,121.5338396,121.5338396,121.5402285,121.8243641,-1,1,0.689788667,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
89,0.5,1,122.2357922,122.7171967,122.7171967,122.7344037,123.0075066,1,1,0.767283375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
90,0.5,1,123.4957289,123.9834675,123.9834675,123.9898927,124.2737156,-1,1,0.418462833,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
91,0.5,1,124.4186342,124.9005687,124.9005687,124.9175927,125.1904942,-1,1,0.551202875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
92,0.5,1,125.4695038,125.9580373,125.9580373,125.9672991,126.2512735,1,1,0.650912375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
93,0.5,1,126.6286397,127.1173715,127.1173715,127.1243489,127.4076476,-1,1,0.459757875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
94,0.5,1,127.5965683,128.0840447,128.0840447,128.0903999,128.3744217,-1,1,0.425856542,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
95,0.5,1,128.5297487,129.0177895,129.0177895,129.0248778,129.3074815,-1,1,0.816789166,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
96,0.5,1,129.8480082,130.33409,130.33409,130.3411943,130.6243111,-1,1,0.531569417,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
97,0.5,1,130.8804583,131.3675044,131.3675044,131.3742337,131.6582032,-1,1,0.624732375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
98,0.5,1,132.0044474,132.49218,132.49218,132.5007983,132.7848535,-1,1,0.493227916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
99,0.5,1,133.0024498,133.4842763,133.4842763,133.5011337,133.7741305,1,1,0.684494167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
100,0.5,1,134.1869011,134.6761273,134.6761273,134.6842806,134.9742129,-1,1,0.586518584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
101,0.5,1,135.27925,135.7677195,135.7677195,135.774093,136.0575585,1,1,0.810793625,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
102,0.5,1,136.5973245,137.0843035,137.0843035,137.0907061,137.3745311,-1,1,0.500588708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
103,0.5,1,137.5968026,138.0837967,138.0837967,138.0902268,138.3743196,-1,1,0.641525708,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
104,0.5,1,138.7455335,139.2343448,139.2343448,139.2408164,139.5248882,-1,1,0.592581542,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
105,0.5,1,139.8460015,140.3344229,140.3344229,140.3408483,140.6249841,-1,1,0.584052167,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
106,0.5,1,140.9304646,141.4177763,141.4177763,141.424801,141.708164,-1,1,0.535080792,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
107,0.5,1,141.9706111,142.4598565,142.4598565,142.4678774,142.7571345,-1,1,0.73738325,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
108,0.5,1,143.212679,143.7012291,143.7012291,143.7075188,143.9906115,1,1,0.534441417,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
109,0.5,1,144.2681808,144.7424566,144.7424566,144.7576058,145.0417042,-1,1,0.564839834,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
110,0.5,1,145.3347937,145.808904,145.808904,145.8244926,146.1018384,-1,0,1.147178125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
111,0.5,1.5,146.9708223,147.4596355,147.4596355,147.46792,147.7519047,-1.5,1,0.549749375,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1.5,1.5,,,,
112,0.5,1.5,148.0220534,148.5097874,148.5097874,148.5180741,148.8018689,1.5,1,0.716782916,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
113,0.5,1.5,149.2471844,149.734666,149.734666,149.7409553,150.024668,1.5,1,0.640859416,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1.5,1.5,,,,
114,0.5,1,150.3884088,150.8758581,150.8758581,150.8847564,151.1746676,-1,1,0.509714791,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
115,0.5,1,151.3974825,151.8847885,151.8847885,151.8911052,152.175014,-1,1,0.459870584,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
116,0.5,1,152.3637109,152.8514597,152.8514597,152.8585968,153.1413763,-1,1,0.43121225,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
117,0.5,1,153.2975268,153.784917,153.784917,153.7918355,154.0754479,1,1,0.700961125,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
118,0.5,1,154.497785,154.984835,154.984835,154.9919478,155.2752558,1,1,0.567144875,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
119,0.5,1,155.5644402,156.051588,156.051588,156.058762,156.3422155,-1,1,0.443138333,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,-1,1,,,,
120,0.5,1,156.5136932,157.001643,157.001643,157.0079967,157.2919519,1,1,0.77351025,vidit,1,2023-09-06_13h33.22.159,orientation_discrimination,2023.1.3,None,,,1,1,,,,
