trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
85,0,85,0,5,284.1588846,284.1588846,0.024683956,285.1667028,[0.3490740740740741],[-0.06111111111111111],[1],[0],[0],[2.435868114233017],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
86,0,86,0,10,286.6574282,286.6574282,0.052163018,287.6648259,[-0.36018518518518516],[-0.26481481481481484],[1],[0],[0],[3.174436578527093],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
87,0,87,0,5,289.8566665,289.8566665,0.027076842,290.8619287,[-0.08796296296296297],[-0.2222222222222222],[1],[0],[0],[2.3171945475041866],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
88,0,88,0,10,292.2353338,292.2353338,0.051782129,293.2430151,[-0.16111111111111112],[0.13425925925925927],[1],[0],[0],[1.8591144736856222],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
89,0,89,0,10,294.1490935,294.1490935,0.051478574,295.1580051,[-0.37592592592592594],[0.09074074074074075],[1],[0],[0],[2.359641581773758],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
90,0,90,0,5,296.5332924,296.5332924,0.026566619,297.5392862,[0.08611111111111111],[0.31574074074074077],[1],[0],[0],[1.783603496849537],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
91,0,91,0,10,298.3810153,298.3810153,0.05141413,299.387622,[-0.032407407407407406],[-0.003703703703703704],[1],[0],[0],[2.09258783608675],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
92,0,92,0,5,300.4972351,300.4972351,0.027639061,301.5025142,[0.05185185185185185],[0.4462962962962963],[1],[0],[0],[1.9503756444901228],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
93,0,93,0,5,302.4802507,302.4802507,0.026737731,303.4840867,[-0.03425925925925926],[-0.000925925925925926],[1],[0],[0],[2.084636738523841],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
94,0,94,0,10,304.625662,304.625662,0.051578131,305.6321322,[0.32592592592592595],[0.2777777777777778],[1],[0],[0],[2.5573772322386503],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
95,0,95,0,5,307.2057685,307.2057685,0.025551066,308.2133396,[0.28703703703703703],[0.27685185185185185],[1],[0],[0],[1.4688902758061886],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
96,0,96,0,5,308.7059325,308.7059325,0.026795952,309.7119232,[0.30092592592592593],[-0.18981481481481483],[1],[0],[0],[3.0164199713617563],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
97,0,97,0,5,311.7540969,311.7540969,0.027382173,312.7593471,[-0.48518518518518516],[-0.024074074074074074],[1],[0],[0],[1.776997284963727],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
98,0,98,0,10,313.6169002,313.6169002,0.072315872,314.6243171,[0.45925925925925926],[0.05462962962962963],[1],[0],[0],[3.2575973197817802],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
99,0,99,0,5,316.896966,316.896966,0.024703512,317.9049313,[-0.2722222222222222],[0.05092592592592592],[1],[0],[0],[2.619053564965725],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
100,0,100,0,10,319.5766381,319.5766381,0.050556799,320.5860078,[0.3814814814814815],[0.21574074074074073],[1],[0],[0],[3.1256784424185753],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
101,0,101,0,5,322.725252,322.725252,0.025565732,323.7331849,[-0.39444444444444443],[0.44722222222222224],[1],[0],[0],[2.6846414506435394],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
102,0,102,0,10,325.473208,325.473208,0.051797241,326.4806471,[0.31296296296296294],[0.1388888888888889],[1],[0],[0],[2.108925584703684],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
103,0,103,0,10,327.637254,327.637254,0.052970128,328.6454042,[0.2],[0.262037037037037],[1],[0],[0],[1.5247621778398752],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
104,0,104,0,10,329.2178689,329.2178689,0.051821684,330.227388,[0.1287037037037037],[-0.1527777777777778],[1],[0],[0],[2.725379154086113],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
105,0,105,0,10,332.0009,332.0009,0.051401686,333.0082551,[0.3138888888888889],[-0.3888888888888889],[1],[0],[0],[1.609689138829708],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
106,0,106,0,10,333.6671588,333.6671588,0.052645683,334.6734828,[-0.4638888888888889],[-0.3333333333333333],[1],[0],[0],[3.506643543019891],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
107,0,107,0,5,337.1955761,337.1955761,0.025228398,338.2037796,[-0.16944444444444445],[-0.16111111111111112],[1],[0],[0],[2.469133388251066],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
108,0,108,0,10,339.7253956,339.7253956,0.049207024,340.734808,[-0.4027777777777778],[0.4546296296296296],[1],[0],[0],[2.5272683948278427],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
109,0,109,0,10,342.3064217,342.3064217,0.049858578,343.315899,[-0.24166666666666667],[-0.08333333333333333],[1],[0],[0],[2.160770380869508],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
110,0,110,0,10,344.5251702,344.5251702,0.052834574,345.5306959,[-0.15462962962962962],[-0.08518518518518518],[1],[0],[0],[1.657961942255497],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
111,0,111,0,10,346.23558,346.23558,0.050017243,347.2458169,[0.037037037037037035],[-0.32037037037037036],[1],[0],[0],[1.8937126342207193],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
112,0,112,0,10,348.182097,348.182097,0.048956802,349.1941063,[0.44537037037037036],[-0.025925925925925925],[1],[0],[0],[2.6115078013390303],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
